cov1,cov2,cov3,cov4,cov5,cov6,cov7,cov8,cov9,cov10,cov11,cov12,cov13,cov14,cov15,cov16,cov17,cov18,cov19,cov20,Treated,outcome123
Bad,Good,Good,Good,Bad,Good,Good,Bad,Bad,Bad,Bad,Good,Good,Good,Good,Good,Bad,Good,Good,1.0,1.0,116.92208705177809
Good,Good,Bad,Good,Bad,Bad,Good,Bad,Bad,Good,Good,Good,Bad,Bad,Bad,Good,Good,Bad,Good,0.0,0.0,119.29578680301063
Bad,Good,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Bad,Bad,Good,Good,Bad,Good,Bad,Good,Good,0.0,0.0,134.1446405754402
Good,Bad,Good,Bad,Good,Good,Good,Good,Good,Good,Bad,Good,Bad,Good,Bad,Bad,Bad,Bad,Good,1.0,0.0,246.024654757568
Good,Good,Bad,Bad,Bad,Good,Bad,Good,Bad,Good,Bad,Good,Bad,Bad,Good,Bad,Bad,Bad,Bad,0.0,1.0,139.83624418874913
Bad,Good,Bad,Good,Good,Bad,Good,Good,Bad,Good,Bad,Good,Good,Good,Bad,Bad,Bad,Good,Bad,1.0,0.0,179.10913126016385
Good,Bad,Bad,Good,Good,Bad,Good,Bad,Bad,Good,Bad,Good,Bad,Good,Bad,Bad,Good,Bad,Bad,1.0,0.0,134.37528218308626
Bad,Bad,Good,Bad,Good,Bad,Bad,Bad,Good,Bad,Good,Good,Bad,Good,Good,Bad,Bad,Bad,Bad,0.0,1.0,90.26300597667348
Bad,Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Good,Bad,Bad,Good,Bad,Good,Bad,Bad,Good,Good,1.0,1.0,98.72502986714916
Bad,Bad,Bad,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Bad,Good,Bad,Bad,Good,Good,Good,1.0,0.0,164.74848937320326
Good,Bad,Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Bad,Good,Bad,Good,Bad,Bad,1.0,0.0,58.94479007550653
Good,Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Bad,Bad,Bad,Good,0.0,0.0,67.32979065758587
Bad,Bad,Good,Good,Bad,Good,Good,Bad,Bad,Good,Good,Good,Bad,Bad,Good,Good,Good,Bad,Bad,1.0,0.0,149.49858943688866
Bad,Bad,Bad,Bad,Good,Bad,Good,Good,Good,Good,Good,Good,Bad,Good,Bad,Bad,Bad,Bad,Good,0.0,1.0,199.29175568269318
Bad,Bad,Bad,Good,Good,Bad,Bad,Good,Bad,Good,Good,Good,Good,Good,Bad,Good,Good,Bad,Good,0.0,0.0,133.47973183488756
Good,Bad,Good,Good,Bad,Good,Bad,Good,Good,Bad,Good,Bad,Good,Good,Bad,Good,Good,Good,Bad,1.0,0.0,154.0777997505558
Bad,Good,Bad,Good,Good,Bad,Good,Good,Bad,Good,Good,Good,Bad,Bad,Good,Good,Bad,Good,Good,1.0,1.0,185.37264264118681
Bad,Bad,Good,Good,Good,Bad,Bad,Good,Good,Bad,Bad,Good,Good,Good,Bad,Bad,Good,Bad,Good,1.0,1.0,148.83936149669663
Bad,Bad,Bad,Bad,Bad,Good,Good,Bad,Bad,Good,Bad,Bad,Bad,Bad,Bad,Bad,Good,Bad,Good,0.0,0.0,113.39735317610581
Good,Good,Good,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Bad,Bad,Bad,Bad,Bad,Good,Good,Bad,1.0,1.0,115.91114944345392
Bad,Good,Bad,Good,Bad,Bad,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Good,1.0,0.0,159.93509311648702
Bad,Good,Bad,Good,Good,Bad,Good,Bad,Good,Good,Good,Good,Good,Bad,Bad,Good,Bad,Bad,Bad,1.0,0.0,184.77683834319768
Good,Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Good,Bad,Bad,Bad,Bad,Good,Good,Bad,Good,Good,1.0,1.0,104.6941635031124
Good,Good,Good,Bad,Good,Good,Bad,Bad,Bad,Bad,Good,Bad,Good,Good,Good,Bad,Bad,Good,Good,1.0,1.0,90.46356245547676
Bad,Bad,Good,Bad,Bad,Good,Good,Bad,Good,Good,Good,Good,Good,Bad,Good,Good,Bad,Good,Bad,0.0,0.0,175.00002882037688
Bad,Bad,Bad,Bad,Good,Bad,Good,Bad,Bad,Bad,Bad,Bad,Good,Good,Bad,Good,Bad,Bad,Good,1.0,0.0,59.54805594669215
Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Good,Bad,Good,Bad,Good,Good,Bad,Bad,Bad,Bad,Bad,0.0,1.0,84.95268451631489
Good,Bad,Bad,Bad,Bad,Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Good,Bad,Good,Good,Bad,Bad,1.0,1.0,132.26656207812894
Good,Bad,Bad,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Bad,Good,Bad,Good,Good,Good,Good,0.0,1.0,173.7898664539641
Good,Good,Good,Good,Bad,Good,Bad,Bad,Bad,Good,Bad,Bad,Bad,Bad,Good,Good,Bad,Bad,Bad,1.0,0.0,131.78485082144007
Bad,Bad,Good,Bad,Bad,Bad,Bad,Good,Bad,Good,Good,Bad,Good,Good,Bad,Bad,Good,Bad,Good,0.0,0.0,104.11582249193695
Good,Good,Bad,Good,Bad,Good,Bad,Good,Good,Bad,Bad,Bad,Bad,Good,Bad,Good,Bad,Good,Good,0.0,1.0,156.43749038021357
Bad,Bad,Good,Good,Bad,Good,Bad,Bad,Good,Good,Bad,Good,Bad,Good,Good,Good,Bad,Good,Good,0.0,1.0,165.82211824364046
Good,Good,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Bad,Good,Bad,Good,Bad,Bad,Bad,Good,Bad,0.0,1.0,144.31460154889072
Good,Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Good,Good,Bad,Bad,Good,1.0,1.0,69.90061372452413
Bad,Good,Bad,Bad,Bad,Bad,Good,Good,Bad,Bad,Good,Good,Bad,Bad,Bad,Good,Good,Good,Good,1.0,0.0,84.63161303369559
Bad,Good,Good,Bad,Good,Bad,Good,Good,Bad,Bad,Good,Good,Good,Good,Good,Good,Bad,Good,Good,1.0,0.0,124.05898904213444
Bad,Bad,Bad,Bad,Bad,Good,Good,Bad,Good,Bad,Good,Good,Good,Good,Good,Bad,Good,Good,Good,0.0,0.0,110.42596895549136
Bad,Good,Bad,Bad,Bad,Bad,Good,Bad,Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,1.0,1.0,93.6465506889288
Bad,Bad,Good,Good,Good,Good,Good,Good,Good,Bad,Good,Bad,Bad,Good,Bad,Good,Good,Good,Good,1.0,1.0,215.94543645681745
Bad,Bad,Good,Good,Bad,Bad,Good,Good,Good,Good,Bad,Bad,Bad,Good,Good,Bad,Bad,Good,Good,0.0,0.0,204.48355538603784
Good,Good,Bad,Bad,Good,Good,Good,Good,Bad,Bad,Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,1.0,0.0,144.35478905101718
Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Good,Bad,Good,Bad,Bad,1.0,0.0,90.94847655513806
Good,Bad,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Bad,Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,0.0,0.0,126.65985940524357
Bad,Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Good,Bad,Good,Good,Good,Good,Good,Good,1.0,0.0,10.599629133086651
Good,Good,Bad,Bad,Good,Bad,Bad,Good,Bad,Bad,Bad,Bad,Good,Good,Good,Good,Bad,Bad,Bad,1.0,0.0,80.46339202837494
Bad,Bad,Bad,Good,Good,Bad,Good,Good,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Bad,Bad,Good,0.0,1.0,125.60835998509943
Good,Bad,Bad,Good,Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Good,Good,Bad,Good,Bad,Bad,Good,1.0,1.0,133.6548527048727
Good,Bad,Good,Good,Bad,Bad,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Bad,Good,0.0,1.0,174.99067516336117
Good,Bad,Bad,Good,Good,Good,Bad,Bad,Good,Bad,Bad,Bad,Bad,Bad,Bad,Good,Good,Bad,Good,0.0,0.0,124.62945988389795
Good,Good,Bad,Good,Good,Good,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Bad,Bad,Good,Good,Good,1.0,1.0,170.05369266675874
Good,Good,Bad,Good,Good,Good,Good,Bad,Bad,Good,Good,Bad,Good,Bad,Good,Bad,Bad,Bad,Bad,0.0,0.0,175.3541311757815
Bad,Bad,Bad,Good,Good,Good,Bad,Good,Good,Bad,Good,Bad,Good,Good,Bad,Good,Good,Good,Bad,0.0,1.0,165.2339956263777
Bad,Good,Good,Good,Good,Bad,Good,Good,Bad,Bad,Bad,Bad,Bad,Good,Bad,Bad,Good,Good,Bad,1.0,0.0,144.19861174335597
Good,Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Bad,Bad,Good,Bad,Bad,Good,Bad,Good,Bad,Good,0.0,1.0,67.81420943585945
Good,Good,Bad,Good,Bad,Good,Good,Good,Good,Bad,Bad,Bad,Good,Good,Good,Good,Good,Bad,Bad,1.0,1.0,192.2788855855493
Good,Good,Bad,Bad,Bad,Bad,Bad,Bad,Good,Bad,Good,Good,Good,Good,Bad,Good,Bad,Good,Bad,1.0,0.0,59.33664767849505
Bad,Bad,Good,Good,Bad,Bad,Bad,Good,Bad,Bad,Bad,Bad,Bad,Good,Good,Good,Bad,Bad,Bad,1.0,1.0,80.31509791407946
Bad,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Bad,Good,Good,Good,Bad,Bad,Good,Good,0.0,0.0,80.06468215493948
Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,0.0,1.0,55.53628234257513
Bad,Bad,Bad,Bad,Good,Bad,Bad,Good,Good,Bad,Good,Bad,Bad,Good,Good,Good,Bad,Bad,Bad,1.0,1.0,115.10444476076246
Bad,Good,Good,Good,Good,Bad,Good,Bad,Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Good,Good,0.0,1.0,154.24072030728692
Good,Good,Good,Good,Good,Bad,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Bad,1.0,0.0,209.24635763812856
Bad,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Bad,Bad,Good,Good,Bad,Bad,Good,Good,Good,Good,0.0,0.0,104.82588285282765
Bad,Bad,Bad,Good,Good,Bad,Bad,Bad,Good,Good,Bad,Bad,Good,Bad,Bad,Bad,Bad,Good,Bad,1.0,1.0,144.6061362639864
Good,Bad,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Good,Good,Bad,Bad,Bad,Good,Good,Good,0.0,1.0,229.41728972629184
Good,Good,Bad,Bad,Good,Bad,Bad,Bad,Bad,Good,Bad,Good,Good,Good,Good,Bad,Good,Good,Good,1.0,0.0,89.58899480539453
Bad,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Good,Good,Good,1.0,1.0,83.46916786940692
Good,Bad,Good,Bad,Good,Good,Bad,Good,Good,Good,Bad,Good,Bad,Bad,Good,Good,Bad,Bad,Good,1.0,1.0,215.4439216955036
Good,Bad,Good,Bad,Good,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Bad,0.0,1.0,216.06886156720842
Bad,Good,Good,Bad,Good,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Bad,Bad,Bad,Good,Good,Bad,1.0,1.0,96.59301504092363
Good,Bad,Good,Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Good,Bad,Good,Good,Bad,Good,Bad,Good,0.0,1.0,114.84312097038263
Good,Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Bad,Good,Bad,Bad,Good,Bad,Good,Good,Bad,Good,1.0,1.0,69.81250604071687
Bad,Good,Good,Good,Bad,Bad,Good,Bad,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Bad,Bad,Good,0.0,1.0,84.95610068080344
Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Good,Bad,Good,Good,Bad,1.0,1.0,48.964070468092835
Good,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Good,Bad,Bad,Bad,Good,Good,Bad,Good,Bad,0.0,0.0,215.3430634916284
Bad,Bad,Bad,Good,Good,Good,Good,Bad,Bad,Good,Good,Good,Good,Good,Good,Bad,Bad,Good,Bad,0.0,1.0,166.35701182634406
Bad,Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Bad,1.0,1.0,64.5090715548303
Bad,Good,Good,Good,Bad,Good,Good,Bad,Bad,Bad,Good,Good,Bad,Good,Bad,Bad,Good,Bad,Bad,1.0,0.0,110.42468917283945
Bad,Bad,Good,Good,Bad,Bad,Bad,Good,Bad,Bad,Good,Bad,Bad,Bad,Good,Bad,Good,Bad,Bad,0.0,0.0,76.96007431754087
Good,Bad,Bad,Bad,Bad,Good,Bad,Good,Bad,Bad,Bad,Bad,Good,Good,Good,Bad,Bad,Bad,Good,0.0,0.0,74.95819942076064
Bad,Good,Bad,Good,Bad,Good,Good,Bad,Good,Bad,Bad,Good,Good,Bad,Good,Bad,Bad,Bad,Bad,0.0,0.0,140.23683771689923
Bad,Good,Good,Good,Bad,Good,Bad,Good,Bad,Good,Bad,Good,Bad,Good,Bad,Bad,Good,Bad,Bad,1.0,1.0,169.07458295963622
Bad,Good,Bad,Good,Bad,Good,Bad,Good,Bad,Good,Good,Bad,Good,Good,Bad,Bad,Bad,Good,Good,0.0,1.0,154.4498163317738
Bad,Good,Good,Bad,Good,Good,Good,Bad,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,1.0,1.0,165.6114092900119
Bad,Bad,Bad,Bad,Good,Bad,Good,Good,Bad,Good,Good,Bad,Good,Good,Good,Good,Bad,Good,Good,1.0,0.0,150.13303219098714
Good,Bad,Good,Bad,Good,Bad,Bad,Good,Good,Bad,Bad,Good,Bad,Good,Bad,Good,Bad,Bad,Good,0.0,0.0,130.46758362899962
Good,Good,Good,Good,Good,Bad,Bad,Good,Bad,Bad,Good,Good,Bad,Good,Bad,Good,Good,Bad,Bad,1.0,1.0,121.19120617463804
Bad,Bad,Bad,Good,Bad,Bad,Good,Bad,Good,Good,Good,Good,Good,Good,Bad,Good,Good,Bad,Good,1.0,1.0,154.67188085050626
Bad,Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Bad,Good,Bad,Bad,Good,Good,Bad,Bad,Good,Good,0.0,0.0,59.052241448407294
Bad,Bad,Good,Bad,Bad,Bad,Bad,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Bad,Bad,Good,1.0,0.0,109.42066613882635
Bad,Good,Good,Good,Good,Good,Bad,Good,Good,Good,Bad,Bad,Bad,Bad,Good,Good,Good,Bad,Bad,0.0,0.0,234.86942105422105
Bad,Good,Good,Bad,Good,Good,Good,Bad,Bad,Good,Bad,Good,Good,Bad,Good,Bad,Bad,Bad,Bad,0.0,0.0,165.36344227565712
Bad,Bad,Good,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Bad,Good,Good,Bad,Bad,Bad,Bad,Good,1.0,0.0,14.668796011541625
Good,Good,Good,Good,Bad,Good,Bad,Good,Bad,Bad,Good,Bad,Good,Bad,Good,Good,Bad,Bad,Good,0.0,0.0,122.60086793152908
Bad,Bad,Bad,Bad,Bad,Good,Bad,Bad,Good,Good,Bad,Bad,Good,Bad,Bad,Good,Good,Good,Bad,1.0,0.0,126.16016754648771
Bad,Good,Good,Good,Good,Good,Bad,Bad,Good,Bad,Good,Good,Bad,Good,Bad,Bad,Bad,Good,Good,1.0,0.0,143.7044335343466
Bad,Good,Good,Bad,Bad,Bad,Bad,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Good,Good,Bad,0.0,0.0,115.5315390658393
Good,Bad,Bad,Bad,Bad,Good,Good,Bad,Good,Bad,Bad,Good,Bad,Good,Good,Good,Bad,Good,Good,1.0,1.0,118.26756706257635
Good,Bad,Bad,Bad,Good,Good,Bad,Bad,Good,Bad,Good,Bad,Bad,Good,Good,Good,Good,Bad,Good,0.0,0.0,104.03843690675116
Good,Good,Bad,Bad,Good,Bad,Good,Bad,Good,Good,Good,Good,Good,Good,Good,Bad,Bad,Good,Bad,0.0,0.0,170.2817112614279
Good,Good,Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Good,Good,Good,Good,Good,Good,Good,Bad,Good,1.0,1.0,74.00448051821994
Good,Bad,Good,Good,Good,Bad,Bad,Good,Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Bad,Bad,1.0,0.0,199.27173906326942
Good,Good,Bad,Bad,Good,Good,Bad,Good,Bad,Good,Good,Bad,Bad,Good,Good,Good,Good,Bad,Good,0.0,1.0,165.55735647851122
Bad,Bad,Good,Good,Bad,Bad,Good,Bad,Bad,Good,Bad,Bad,Bad,Bad,Good,Bad,Good,Bad,Bad,0.0,1.0,124.15823078201605
Bad,Good,Good,Good,Bad,Good,Good,Bad,Bad,Good,Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,1.0,0.0,159.93217716995244
Bad,Bad,Good,Bad,Good,Good,Bad,Bad,Bad,Good,Good,Good,Bad,Good,Bad,Bad,Bad,Bad,Bad,1.0,0.0,119.09281061851941
Good,Good,Bad,Good,Good,Good,Bad,Good,Good,Bad,Bad,Bad,Good,Bad,Bad,Bad,Bad,Good,Good,1.0,0.0,175.37240625356827
Good,Bad,Bad,Good,Good,Bad,Bad,Good,Bad,Bad,Bad,Bad,Good,Bad,Bad,Bad,Good,Good,Good,0.0,0.0,90.42335048192191
Good,Good,Good,Bad,Bad,Good,Bad,Bad,Bad,Bad,Bad,Good,Good,Bad,Bad,Bad,Bad,Bad,Good,1.0,1.0,65.2758918350455
Good,Bad,Good,Bad,Bad,Good,Bad,Good,Good,Good,Bad,Bad,Good,Bad,Good,Good,Bad,Good,Good,0.0,0.0,186.20543692221432
Good,Bad,Good,Bad,Good,Good,Bad,Bad,Bad,Good,Bad,Good,Good,Bad,Good,Bad,Good,Good,Good,0.0,0.0,125.88264691302095
